,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
6739,7000000,A24,USA,Mike Mills,Comedy,5663855,20th Century Women,R,20-01-2017,119.0,7.4,Annette Bening,20814.0,Mike Mills,2016.0
6740,140000000,Walt Disney Pictures,USA,Steven Spielberg,Adventure,55483770,The BFG,PG,01-07-2016,117.0,6.4,Mark Rylance,56297.0,Melissa Mathison,2016.0
6741,80000000,Walt Disney Pictures,USA,Craig Gillespie,Action,27550735,The Finest Hours,PG-13,29-01-2016,117.0,6.8,Chris Pine,47688.0,Scott Silver,2016.0
6742,20000000,Apatow Productions,USA,Akiva Schaffer,Comedy,9393835,Popstar: Never Stop Never Stopping,R,03-06-2016,87.0,6.7,Andy Samberg,35620.0,Andy Samberg,2001.0
6743,38000000,New Line Cinema,USA,Christian Ditter,Comedy,46813366,How to Be Single,R,12-02-2016,110.0,6.1,Dakota Johnson,63520.0,Abby Kohn,2016.0
6744,0,H Is 4 Productions,Ireland,Aisling Walsh,Biography,6139048,Maudie,PG-13,04-08-2017,115.0,7.7,Sally Hawkins,1735.0,Sherry White,2016.0
6745,10000000,EuropaCorp,France,Farren Blackburn,Drama,6883951,Presencia siniestra,PG-13,11-11-2016,91.0,4.7,Naomi Watts,7396.0,Christina Hodson,2016.0
6746,0,20th Century Fox,South Korea,Hong-jin Na,Drama,785405,The Wailing,NOT RATED,03-06-2016,156.0,7.5,Jun Kunimura,21562.0,Hong-jin Na,2016.0
6747,250000,Diablo Entertainment (II),USA,J.D. Dillard,Action,3847290,Sleight,R,28-04-2017,89.0,5.9,Jacob Latimore,4012.0,J.D. Dillard,2016.0
6748,0,Blackbird,Israel,Joseph Cedar,Drama,3810812,Norman,R,14-04-2017,118.0,6.3,Richard Gere,2716.0,Joseph Cedar,2016.0
6749,0,Cave Painting Pictures,Canada,Jeremy Gillespie,Horror,150372,The Void,NOT RATED,07-04-2017,90.0,5.8,Aaron Poole,15932.0,Jeremy Gillespie,2016.0
6750,73000000,Columbia Pictures,Finland,Clay Kaytis,Animation,107509366,The Angry Birds Movie,PG,20-05-2016,97.0,6.3,Jason Sudeikis,59472.0,Jon Vitti,2016.0
6751,1500000,Bow and Arrow Entertainment,UK,Rob Zombie,Horror,779820,31,R,16-09-2016,102.0,5.0,Malcolm McDowell,11945.0,Rob Zombie,2016.0
6752,15000000,Cinelou Films,USA,Taylor Hackford,Comedy,1658706,The Comedian,R,03-02-2017,120.0,5.7,Robert De Niro,3729.0,Art Linson,2016.0
6753,40000000,Bona Film Group,UK,Ang Lee,Drama,1721524,Billy Lynn's Long Halftime Walk,R,18-11-2016,113.0,6.3,Joe Alwyn,14631.0,Ben Fountain,2016.0
6754,65000000,Walt Disney Pictures,USA,David Lowery,Action,76204454,Pete's Dragon,PG,12-08-2016,102.0,6.7,Bryce Dallas Howard,41083.0,David Lowery,2016.0
6755,27000000,TriStar Pictures,USA,Jodie Foster,Crime,41012075,Money Monster,R,13-05-2016,98.0,6.5,George Clooney,72997.0,Jamie Linden,2016.0
6756,50000000,Bluegrass Films,USA,Gary Ross,Action,20758378,Free State of Jones,R,24-06-2016,139.0,6.9,Matthew McConaughey,34513.0,Gary Ross,2016.0
6757,0,Mockingbird Pictures,USA,Robin Swicord,Drama,259412,Wakefield,R,19-05-2017,106.0,6.4,Bryan Cranston,6795.0,E.L. Doctorow,2016.0
6758,0,LD Entertainment,Czech Republic,Sean Ellis,Biography,2959288,Anthropoid,R,09-09-2016,120.0,7.2,Jamie Dornan,28589.0,Sean Ellis,2016.0
6759,25000000,Open Road Films (II),USA,Garry Marshall,Comedy,32463917,Mother's Day,PG-13,29-04-2016,118.0,5.6,Jennifer Aniston,22504.0,Anya Kochoff,2016.0
6760,25000000,New Regency Pictures,USA,Warren Beatty,Comedy,3647836,Rules Don't Apply,PG-13,23-11-2016,127.0,5.7,Lily Collins,5192.0,Warren Beatty,2016.0
